PropertyID,Address,City,State,Zip,SqFt,LotSize_Acres,Bedrooms,Bathrooms,GarageSpaces,HasPool,HasPatio,HasDeck,YearBuilt,LastSoldPrice
OklahomaCityOK-043,5232 Maple Ln,Oklahoma City,OK,73170,3882,0.16,4,3,1,1,1,1,1988,557000
NobleOK-035,6777 Main St,Noble,OK,73068,2041,4.62,2,1,1,0,1,1,2004,270000
OklahomaCityOK-044,3721 Maple Ln,Oklahoma City,OK,73139,3486,0.33,4,4,1,0,1,1,2012,504000
NobleOK-036,5820 Penn Ave,Noble,OK,73068,2284,3.03,2,2.5,0,0,1,0,2011,290000
NormanOK-040,9930 Pine Rd,Norman,OK,73069,1525,0.34,5,5,3,0,1,0,2004,250000
OklahomaCityOK-045,8726 Classen Blvd,Oklahoma City,OK,73170,3066,0.26,4,4,3,1,1,0,2006,484000
NobleOK-037,965 Main St,Noble,OK,73068,4069,3.57,5,5,1,0,1,0,1983,532000
NormanOK-041,5168 Robinson St,Norman,OK,73069,1922,0.25,5,5,3,0,0,0,2019,302000
OklahomaCityOK-046,9156 Maple Ln,Oklahoma City,OK,73159,2944,0.31,4,4,3,0,1,0,2009,432000
NormanOK-042,6060 Cedar Ct,Norman,OK,73069,2088,0.28,2,2.5,1,0,1,0,1961,282000
OklahomaCityOK-047,7317 Penn Ave,Oklahoma City,OK,73159,3816,0.25,3,2.5,3,0,1,0,2005,574000
OklahomaCityOK-048,9131 Main St,Oklahoma City,OK,73160,1112,0.18,5,5,2,0,1,0,1983,126000
NormanOK-043,2291 Penn Ave,Norman,OK,73072,3042,0.30,3,2.5,0,0,0,0,1969,403000
OklahomaCityOK-049,9106 Pine Rd,Oklahoma City,OK,73160,3999,0.35,2,1,1,0,0,0,2005,565000
OklahomaCityOK-050,3525 Classen Blvd,Oklahoma City,OK,73160,2768,0.26,2,2,2,1,0,1,2017,441000
NobleOK-038,1054 Washington Blvd,Noble,OK,73068,4432,1.55,4,3,3,0,1,0,1991,590000
OklahomaCityOK-051,1618 Cedar Ct,Oklahoma City,OK,73159,1873,0.24,3,3,3,0,0,1,2006,274000
OklahomaCityOK-052,2863 Maple Ln,Oklahoma City,OK,73170,3372,0.34,4,3.5,1,0,1,0,1968,446000
NormanOK-044,4999 Maple Ln,Norman,OK,73069,1251,0.37,5,5.5,1,0,1,0,2020,190000
NobleOK-039,7183 Washington Blvd,Noble,OK,73068,3526,1.36,4,3.5,2,0,1,1,1977,463000
NormanOK-045,4670 Oak Ave,Norman,OK,73069,3732,0.36,5,5,0,0,0,0,1969,524000
OklahomaCityOK-053,5768 Washington Blvd,Oklahoma City,OK,73159,3369,0.31,5,4.5,0,0,0,0,2008,487000
NobleOK-040,7328 Oak Ave,Noble,OK,73068,3857,4.34,5,5.5,1,0,1,1,1964,478000
NobleOK-041,4660 Maple Ln,Noble,OK,73068,4009,1.45,3,2,1,1,0,0,1999,545000
NormanOK-046,4038 Classen Blvd,Norman,OK,73072,4392,0.29,5,4,0,1,1,0,2017,689000
NormanOK-047,3851 Main St,Norman,OK,73072,3636,0.34,5,4,0,0,1,0,1983,520000
NobleOK-042,6512 Classen Blvd,Noble,OK,73068,1973,4.97,4,3.5,1,0,1,0,1989,235000
NormanOK-048,753 Oak Ave,Norman,OK,73072,3261,0.31,3,2,3,1,0,0,1984,524000
NormanOK-049,5186 Penn Ave,Norman,OK,73071,1321,0.20,3,2,1,0,0,0,2003,187000
OklahomaCityOK-054,2715 Western Ave,Oklahoma City,OK,73139,1721,0.20,4,4.5,3,0,0,0,2019,256000
NormanOK-050,6296 Maple Ln,Norman,OK,73069,3302,0.31,3,2.5,2,0,1,1,2013,524000
OklahomaCityOK-055,8876 Cedar Ct,Oklahoma City,OK,73160,1609,0.27,4,4.5,1,0,1,1,1978,193000
OklahomaCityOK-056,7099 Classen Blvd,Oklahoma City,OK,73160,1489,0.28,4,4,2,0,1,0,1999,220000
OklahomaCityOK-057,7239 Oak Ave,Oklahoma City,OK,73139,4428,0.28,5,4.5,0,0,1,0,2004,639000
NormanOK-051,2956 Washington Blvd,Norman,OK,73072,1449,0.40,3,3,0,0,1,0,2023,230000
OklahomaCityOK-058,9807 Pine Rd,Oklahoma City,OK,73159,1280,0.33,4,4,2,0,1,1,2008,198000
OklahomaCityOK-059,4623 Maple Ln,Oklahoma City,OK,73159,1679,0.17,2,1,1,0,0,1,2006,227000
OklahomaCityOK-060,4271 Cedar Ct,Oklahoma City,OK,73139,1697,0.29,4,3.5,0,0,1,1,1975,193000
OklahomaCityOK-061,5300 Western Ave,Oklahoma City,OK,73160,2276,0.18,3,3.5,1,0,1,0,2013,321000
NormanOK-052,8077 Penn Ave,Norman,OK,73069,2500,0.34,5,4,1,0,0,0,1963,331000
NormanOK-053,4973 Maple Ln,Norman,OK,73072,4422,0.39,3,2,2,0,0,0,1979,644000
OklahomaCityOK-062,2549 Oak Ave,Oklahoma City,OK,73159,3585,0.26,3,3,3,1,0,0,1983,525000
OklahomaCityOK-063,3991 Oak Ave,Oklahoma City,OK,73160,1990,0.21,5,5.5,3,0,0,1,1979,262000
NobleOK-043,7260 Cedar Ct,Noble,OK,73068,2058,4.63,3,3,3,0,1,0,2010,278000
NobleOK-044,5555 Western Ave,Noble,OK,73068,2762,2.32,5,4.5,1,0,1,0,2015,380000
OklahomaCityOK-064,7824 Penn Ave,Oklahoma City,OK,73139,2934,0.16,3,2,3,0,1,0,1968,409000
OklahomaCityOK-065,9129 Pine Rd,Oklahoma City,OK,73159,3205,0.29,4,3.5,0,0,0,1,2002,453000
NobleOK-045,4079 Main St,Noble,OK,73068,2526,1.13,4,3.5,0,0,1,0,1963,280000
NobleOK-046,6971 Penn Ave,Noble,OK,73068,4085,2.08,2,2,2,0,1,1,1975,510000
OklahomaCityOK-066,5125 Pine Rd,Oklahoma City,OK,73170,2939,0.30,3,3.5,3,1,0,1,1983,428000
NobleOK-047,8666 Maple Ln,Noble,OK,73068,3999,0.71,3,2.5,2,0,1,0,2017,562000
NobleOK-048,1653 Pine Rd,Noble,OK,73068,4413,2.48,5,5.5,3,1,1,0,1972,593000
NormanOK-054,1545 Robinson St,Norman,OK,73072,3610,0.27,4,3,1,1,0,1,2012,569000
NobleOK-049,3618 Cedar Ct,Noble,OK,73068,2543,1.88,5,4.5,3,1,1,0,1978,341000
NobleOK-050,6757 Penn Ave,Noble,OK,73068,3060,1.33,4,3,0,0,1,1,1982,369000
NormanOK-055,973 Washington Blvd,Norman,OK,73071,3975,0.31,3,2.5,2,0,1,0,1995,594000
NormanOK-056,2063 Classen Blvd,Norman,OK,73072,2467,0.38,2,2.5,3,0,0,0,1991,373000
NormanOK-057,9572 Robinson St,Norman,OK,73072,2116,0.36,4,4.5,0,0,1,0,1979,271000
NormanOK-058,7576 Maple Ln,Norman,OK,73072,2103,0.22,5,5.5,0,0,1,0,1969,280000
NobleOK-051,9494 Washington Blvd,Noble,OK,73068,3700,1.00,4,3,3,0,0,0,2007,502000
OklahomaCityOK-067,7528 Pine Rd,Oklahoma City,OK,73139,4422,0.20,5,4.5,3,0,0,0,1988,620000
NobleOK-052,2337 Classen Blvd,Noble,OK,73068,3974,1.73,2,2.5,0,0,1,1,1964,493000
NormanOK-059,7958 Maple Ln,Norman,OK,73072,2528,0.38,5,5.5,1,1,1,1,1972,377000
NormanOK-060,919 Main St,Norman,OK,73069,3784,0.31,5,4,2,0,1,1,1993,585000
NobleOK-053,2906 Pine Rd,Noble,OK,73068,3589,4.58,2,1,1,0,1,1,1966,429000
OklahomaCityOK-068,3896 Robinson St,Oklahoma City,OK,73159,1266,0.33,2,1.5,3,0,1,0,1987,180000
OklahomaCityOK-069,5142 Penn Ave,Oklahoma City,OK,73159,4189,0.25,2,1.5,1,0,1,1,1967,571000
OklahomaCityOK-070,9163 Cedar Ct,Oklahoma City,OK,73139,2953,0.35,3,2,2,0,0,1,2020,431000
NobleOK-054,548 Maple Ln,Noble,OK,73068,3486,0.78,4,3.5,2,1,1,0,2006,503000
OklahomaCityOK-071,9506 Classen Blvd,Oklahoma City,OK,73170,3901,0.31,4,3,0,0,0,0,1967,519000
OklahomaCityOK-072,9865 Oak Ave,Oklahoma City,OK,73160,3462,0.28,5,5.5,2,0,1,0,1989,483000
OklahomaCityOK-073,1117 Oak Ave,Oklahoma City,OK,73159,3076,0.19,3,2.5,3,0,1,0,1977,418000
OklahomaCityOK-074,2376 Cedar Ct,Oklahoma City,OK,73170,2465,0.34,5,5,1,1,1,1,1993,357000
OklahomaCityOK-075,479 Main St,Oklahoma City,OK,73139,3323,0.25,3,2.5,2,1,1,1,1990,485000
OklahomaCityOK-076,6137 Washington Blvd,Oklahoma City,OK,73139,4294,0.18,3,3,0,0,0,0,1998,596000
NormanOK-061,7473 Maple Ln,Norman,OK,73069,3004,0.36,5,4.5,0,0,1,0,2003,446000
NormanOK-062,2856 Oak Ave,Norman,OK,73071,2642,0.16,3,3.5,2,0,1,0,1990,392000
OklahomaCityOK-077,715 Cedar Ct,Oklahoma City,OK,73170,2466,0.33,5,5,3,0,1,0,1962,330000
OklahomaCityOK-078,9406 Classen Blvd,Oklahoma City,OK,73160,2181,0.21,2,2,1,0,1,1,1988,278000
NobleOK-055,7308 Penn Ave,Noble,OK,73068,1292,2.14,5,5.5,3,0,1,1,1976,166000
OklahomaCityOK-079,4585 Pine Rd,Oklahoma City,OK,73160,1132,0.20,4,3.5,0,0,0,1,2015,141000
NormanOK-063,7035 Classen Blvd,Norman,OK,73069,4270,0.38,5,5.5,3,0,1,1,1984,659000
NormanOK-064,2767 Maple Ln,Norman,OK,73071,3932,0.38,5,4.5,0,0,0,0,1999,576000
OklahomaCityOK-080,3874 Penn Ave,Oklahoma City,OK,73159,3430,0.18,2,1.5,0,0,1,1,1990,477000
NobleOK-056,4379 Western Ave,Noble,OK,73068,3982,1.38,5,4,1,0,1,0,2019,536000
NobleOK-057,1941 Cedar Ct,Noble,OK,73068,3182,4.38,2,1,0,0,1,1,2023,432000
NobleOK-058,5969 Classen Blvd,Noble,OK,73068,1682,1.03,2,2.5,1,0,1,0,1985,213000
OklahomaCityOK-081,5988 Washington Blvd,Oklahoma City,OK,73170,1850,0.33,2,1,3,0,1,1,1970,247000
NobleOK-059,7831 Classen Blvd,Noble,OK,73068,1769,4.53,3,2,3,0,0,0,1989,242000
NobleOK-060,4575 Robinson St,Noble,OK,73068,3637,4.43,5,4,3,0,1,1,2016,517000
OklahomaCityOK-082,8128 Western Ave,Oklahoma City,OK,73170,1895,0.19,5,5.5,2,0,0,1,2011,291000
OklahomaCityOK-083,1909 Classen Blvd,Oklahoma City,OK,73159,2469,0.28,5,4.5,1,1,1,0,1976,347000
NormanOK-065,5585 Main St,Norman,OK,73072,4450,0.19,3,3,0,0,1,0,1987,641000
OklahomaCityOK-084,7293 Classen Blvd,Oklahoma City,OK,73139,2184,0.23,3,2.5,1,0,1,0,1971,282000
NobleOK-061,4731 Main St,Noble,OK,73068,1337,1.94,3,2,0,0,1,0,2010,181000
NormanOK-066,7185 Penn Ave,Norman,OK,73072,1660,0.16,5,5,1,0,1,1,1961,196000
OklahomaCityOK-085,8786 Oak Ave,Oklahoma City,OK,73170,1881,0.32,4,3.5,1,0,0,0,1964,219000
OklahomaCityOK-086,3327 Classen Blvd,Oklahoma City,OK,73159,1679,0.25,3,2.5,1,0,1,0,2002,232000
NobleOK-062,3987 Penn Ave,Noble,OK,73068,3283,2.63,2,1,0,1,1,0,1983,430000
NormanOK-067,1867 Classen Blvd,Norman,OK,73071,3599,0.29,3,2,1,0,0,0,2008,556000
OklahomaCityOK-087,8190 Robinson St,Oklahoma City,OK,73160,2171,0.23,4,4.5,0,0,0,1,1975,273000
NormanOK-068,6268 Washington Blvd,Norman,OK,73072,1745,0.22,3,3,3,0,1,0,1964,232000
NormanOK-069,2480 Classen Blvd,Norman,OK,73071,1598,0.25,4,3.5,2,0,1,0,2003,256000
NormanOK-070,6362 Pine Rd,Norman,OK,73069,3562,0.17,4,4,2,1,1,1,2006,576000
OklahomaCityOK-088,3929 Cedar Ct,Oklahoma City,OK,73159,3325,0.18,2,2.5,1,1,0,1,1970,468000
OklahomaCityOK-089,604 Main St,Oklahoma City,OK,73170,2045,0.22,4,4,1,0,1,1,2009,282000
NormanOK-071,3968 Main St,Norman,OK,73071,3991,0.15,4,4,3,0,1,0,1964,581000
NobleOK-063,6282 Oak Ave,Noble,OK,73068,3957,2.89,2,2,1,1,1,0,1962,520000
NobleOK-064,7281 Robinson St,Noble,OK,73068,1355,1.33,5,4.5,1,0,1,0,2016,188000
NobleOK-065,6731 Western Ave,Noble,OK,73068,4458,4.01,5,4.5,0,0,1,1,1976,565000
OklahomaCityOK-090,7170 Maple Ln,Oklahoma City,OK,73139,4069,0.17,4,3,3,0,1,0,1966,545000
NobleOK-066,9066 Classen Blvd,Noble,OK,73068,3346,4.73,2,1.5,1,1,1,1,1990,450000
OklahomaCityOK-091,6085 Classen Blvd,Oklahoma City,OK,73160,1156,0.24,4,4.5,1,0,1,0,2012,177000
NormanOK-072,9469 Penn Ave,Norman,OK,73072,2869,0.17,4,4,1,0,1,1,1996,430000
OklahomaCityOK-092,7435 Cedar Ct,Oklahoma City,OK,73159,4379,0.27,3,2.5,2,0,1,0,1990,632000
NormanOK-073,415 Robinson St,Norman,OK,73071,3208,0.26,4,4.5,1,1,1,0,1965,463000
NormanOK-074,2051 Washington Blvd,Norman,OK,73072,1345,0.17,3,2.5,1,0,0,1,1989,179000
NobleOK-067,991 Robinson St,Noble,OK,73068,4197,1.49,2,1.5,0,0,0,0,1985,519000
OklahomaCityOK-093,2737 Oak Ave,Oklahoma City,OK,73159,2806,0.25,2,1,3,1,0,1,1969,390000
NobleOK-068,3889 Oak Ave,Noble,OK,73068,2711,4.39,3,2.5,2,0,1,1,1992,348000
NormanOK-075,4009 Washington Blvd,Norman,OK,73071,2006,0.28,2,1,2,0,1,0,2018,325000
OklahomaCityOK-094,7721 Penn Ave,Oklahoma City,OK,73160,1852,0.15,5,4,3,0,0,1,1969,250000
NormanOK-076,2387 Penn Ave,Norman,OK,73072,1255,0.28,5,5,3,0,0,1,2009,200000
NobleOK-069,5510 Washington Blvd,Noble,OK,73068,1957,3.21,3,2.5,1,0,0,0,1985,224000
OklahomaCityOK-095,2317 Cedar Ct,Oklahoma City,OK,73139,1502,0.28,4,3,3,0,0,1,1989,219000
NobleOK-070,581 Penn Ave,Noble,OK,73068,1477,2.60,2,1.5,0,0,1,0,1968,150000
NormanOK-077,2421 Classen Blvd,Norman,OK,73069,1168,0.24,4,3.5,1,0,0,0,2023,186000
NobleOK-071,3094 Cedar Ct,Noble,OK,73068,3762,4.13,4,3,3,0,1,1,2008,512000
